ID,Feature,Phase,Domaine,Description,Reach,Impact,Confidence,Effort (sem),Score RICE,Dépendances,Critères acceptation,Priorité
F1,Cockpit consolidé,MVP,Fondation,"Page d'accueil avec intention, Big Rocks, tâches, RDV, props IA.",10,3,0.9,2,13.5,"Lecture <10s, actions <30s, 5 widgets.",P0,
F2,Vue par société,MVP,Fondation,"Page dédiée par entité (Adabu, Start, AMANI, ETIC) avec intention, décisions, chantiers, équipe.",10,3,0.9,2,13.5,"Navigation fluide, filtres opérationnels.",P0,
F3,Revue hebdo manuelle,MVP,Rituel,"Écran de revue hebdo avec Big Rocks, bilan S-1, cap S+1.",10,3,0.85,2,12.8,Template rempli en <15min.,P0,
F4,Agenda consolidé,MVP,Fondation,"Grille 7j×heures, events multi-sources (Outlook + perso), portlets Twisty.",10,3,0.9,2,13.5,"Affichage 7 jours, catégorisation visuelle.",P0,
F5,Tâches unifiées,MVP,Fondation,"Liste multi-sources, filtres, bouton déléguer.",10,3,0.9,2,13.5,"Liste filtrable, tri multi-critères.",P0,
F6,Intégration Outlook (Mail + Calendar),MVP,Intégration,"OAuth Entra ID, delta sync 15min, Mail.Read + Calendars.Read.",10,3,0.95,3,9.5,"Sync fiable, renouvellement tokens auto.",P0,
F7,Copilote réactif (chat),MVP,IA,"Chat latéral qui répond, rédige brouillons, résume.",10,3,0.85,3,8.5,"Réponse <3s, traçabilité sources.",P0,
F8,Délégation assistée,MVP,Délégation,"Bouton déléguer, brief IA pré-rédigé, mail envoyé, suivi créé.",10,3,0.9,3,9,"Brief généré en <5s, suivi automatique.",P0,
F9,Traçabilité minimale,MVP,Transparence,"Chaque prop a source, bouton pourquoi, historique.",10,2.5,0.9,1,22.5,100% des props ont source affichée.,P0,
F10,Copilote proactif (Inngest),V1,IA,Jobs scheduled + webhooks. Sub-agents mail/cal/task/deleg/prep/review.,10,3,0.7,5,4.2,"15 props/j stable, 0 plantage/sem.",P0,
F11,Mémoire long-terme (pgvector),V1,IA,"3 strates (identity/preference/episode), résumés roulants hebdo.",10,2.5,0.7,4,4.4,"Strates séparées, récupération <200ms.",P0,
F12,Rituels intégrés,V1,Rituel,"Matin (check-in + top 3), soir (shutdown), dimanche (revue auto).",10,3,0.85,2,12.8,Adoption ≥80% jours ouvrés.,P0,
F13,Délégation pro (matrice confiance),V1,Délégation,"Matrice silencieuse par équipier, propriétaire naturel, suivi J+2/J+5.",10,3,0.8,3,8,≥5 tâches déléguées/sem.,P0,
F14,Traçabilité totale (Langfuse),V1,Transparence,"Logs agent, UI pourquoi, dashboard transparence visible CEO.",10,2,0.85,2,8.5,100% actions auditables.,P1,
F15,Intégration SharePoint (RAG),V1,Intégration,"Indexation docs, embeddings Voyage-3, permissions trimmées.",10,2,0.8,3,5.3,"Recherche <1s, 0 fuite perm.",P1,
F16,Détection burnout (signaux faibles),V1,Coaching,"Croisement mails >22h, weekends actifs, humeur, taux accept.",10,3,0.55,4,4.1,"Alertes <2/mois, 0 faux positif.",P1,
F17,Migration SolidJS,V1,Tech,"Islands architecture, cockpit puis pages sociétés.",10,2,0.75,6,2.5,"Parité fonctionnelle, perf +20%.",P1,
F18,Design system étendu,V1,Design,"Drawer, view switcher, source pill, command palette Cmd+K.",10,2.5,0.85,2,10.6,Composants documentés.,P1,
F19,"Visualisations riches (carte radiale, arbre, timeline)",V1,Visuel,"Carte radiale sociétés, arbre Big Rocks, timeline décisions.",10,3,0.8,3,8,"3 viz opérationnelles, bascule <100ms.",P0,
F20,Multi-tenant Supabase (RLS),V2,Tech,"Isolation par org, rôles CEO/DG/AE/manager/collab.",5,3,0.85,4,3.2,"0 fuite cross-tenant, RLS testé.",P0,
F21,Vues rôle-spécifiques,V2,UX,"AE voit agenda+tâches, DG voit décisions+projets, CEO voit tout.",5,3,0.8,3,4,Matrice permissions documentée.,P0,
F22,Délégation end-to-end,V2,Délégation,"Tâche déléguée apparaît chez destinataire, suivi bilatéral.",5,3,0.75,4,2.8,Cycle complet testé 20 tâches.,P0,
F23,Intégration Teams,V2,Intégration,"Messages directs, mentions, présence, ping équipier.",5,2.5,0.75,3,3.1,Sync temps réel <2s.,P1,
F24,Comité stratégique intégré,V2,Workflow,ODJ + briefs IA + canvas décision + PV auto + suivis.,2,3,0.65,4,1,Comité préparé en <30min.,P1,
F25,Canvas tldraw + agent visible,V2,Visuel,"Pensée visuelle collaborative, agent réorganise.",10,2.5,0.6,6,2.5,"Latence agent <500ms, collab temps réel.",P0,
F26,Graphe Cytoscape,V2,Visuel,"Réseau parties prenantes, dépendances inter-projets.",10,2.5,0.75,3,6.3,Navigation fluide 100+ nœuds.,P1,
F27,Dashboard équipe,V2,UX,Matrice charge/confiance par équipier.,5,2,0.7,2,3.5,Charges à jour <1j.,P2,
F28,SOC 2 Type II,V2,Compliance,"Audit Vanta/Drata, conformité RGPD complète.",5,3,0.9,4,3.4,Certification obtenue.,P0,
F29,Coach conversationnel,V3,Coaching,Modes arbitrage / coincé / revue stoïque (Claude Opus).,10,2.5,0.5,5,2.5,"3 scénarios testés, 70% satisfaction.",P1,
F30,Journal de reconnaissance,V3,Bien-être,"Module 3 reconnaissances/j, visible sur demande.",10,1.5,0.8,1,12,Intégration discrète.,P2,
F31,Détection burnout active,V3,Coaching,Interventions graduées : question → nudge → bloc focus → journée off.,10,3,0.55,4,4.1,Taux faux positif <5%.,P1,
F32,Boîte à outils psycho,V3,Bien-être,"Respiration, méditations, recadrage, carnet victoires.",10,2,0.8,3,5.3,5 outils disponibles.,P2,
F33,Post-mortem automatique,V3,Coaching,Rétro structurée sur Big Rock échoué ou décision non concrétisée.,10,2,0.7,2,7,Template utile testé 5 cas.,P2,
F34,Offline-first (ElectricSQL),V3,Tech,"Sync Postgres ↔ SQLite, usage en avion.",10,2.5,0.65,5,3.3,Cas avion 2h sans réseau OK.,P1,
F35,App mobile compagnon,V3,Tech,"iOS+Android PWA, lecture rapide, capture vocale.",10,2.5,0.7,6,2.9,Actions clés sous 30s mobile.,P1,
F36,Multi-CEO (écosystème ETIC),V3,Tech,"Ouverture 2-3 CEO, isolation stricte.",3,3,0.7,3,2.1,"Onboarding <1j, isolation 100%.",P1,
F37,Bouton visualiser (Napkin pattern),V2,Visuel,"Sélection texte → 4-6 variantes de schémas, insérables inline.",10,2.5,0.7,3,5.8,"Génération <5s, 6 gabarits.",P1,
F38,Mode surcharge détectée,V2,Coaching,UI simplifiée auto quand signaux convergents.,10,2.5,0.65,2,8.1,Activation correcte 90% des cas.,P2,
F39,Streak du repos,V1,Coaching,"Badge jours shutdown, weekends off, nuits 7h+.",10,1.5,0.85,1,12.8,"Affichage discret, pas de pression.",P2,
F40,NON bienveillant sur saturation,V1,Coaching,"Alerte quand ajout tâche dépasse capacité, 3 options.",10,2.5,0.85,2,10.6,Affiché sur 100% des saturations.,P0,
F41,Recadrage cognitif (ACT light),V2,Coaching,Drawer tâche retard : reframe en 3 options (inutile/difficile/moins imp).,10,2,0.7,2,7,"Testé 10 tâches, 60% résolution.",P2,
F42,Kill switch copilote,MVP,Transparence,Bouton 'suspendre 1h/1j/indéfini' dans settings.,10,3,0.95,1,28.5,"Effet immédiat, aucune prop pendant.",P0,
